<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.25	05:15:00	1996.74	1997.75	1996.25	1997.45	1041	0	6
2023.04.25	05:30:00	1997.49	1997.65	1994.45	1994.57	1708	0	7
2023.04.25	05:45:00	1994.65	1995.46	1994.13	1994.80	1492	0	7
2023.04.25	06:00:00	1994.72	1995.70	1994.49	1995.40	913	0	6
2023.04.25	06:15:00	1995.40	1996.36	1993.94	1995.33	1769	0	7
2023.04.25	06:30:00	1995.33	1995.59	1994.60	1994.99	777	0	7
2023.04.25	06:45:00	1995.00	1995.12	1992.92	1992.93	685	0	6
2023.04.25	07:00:00	1992.93	1993.86	1991.28	1992.25	942	0	6
2023.04.25	07:15:00	1992.22	1992.92	1991.70	1992.00	779	0	8
2023.04.25	07:30:00	1991.99	1992.41	1991.64	1992.15	567	0	8
2023.04.25	07:45:00	1992.07	1992.15	1990.96	1991.07	641	0	8
2023.04.25	08:00:00	1991.09	1993.86	1990.78	1993.76	1063	0	8
2023.04.25	08:15:00	1993.76	1993.99	1992.62	1992.83	977	0	8
2023.04.25	08:30:00	1992.76	1993.06	1991.58	1992.72	1530	0	7
2023.04.25	08:45:00	1992.71	1995.76	1992.60	1995.55	1644	0	7
2023.04.25	09:00:00	1995.51	1996.98	1994.65	1995.85	1539	0	7
2023.04.25	09:15:00	1995.85	1996.22	1993.63	1995.00	1572	0	7
2023.04.25	09:30:00	1995.05	1995.22	1992.94	1994.75	2055	0	8
2023.04.25	09:45:00	1994.73	1995.94	1993.75	1994.28	2109	0	7
2023.04.25	10:00:00	1994.26	1995.50	1992.81	1995.00	3223	0	6
2023.04.25	10:15:00	1995.04	1997.30	1994.61	1994.91	2865	0	6
2023.04.25	10:30:00	1994.92	1995.98	1987.54	1989.24	2599	0	7
2023.04.25	10:45:00	1989.00	1991.42	1988.60	1990.32	1958	0	6
2023.04.25	11:00:00	1990.24	1990.88	1988.51	1988.89	1858	0	6
2023.04.25	11:15:00	1988.90	1990.83	1987.77	1990.47	1725	0	6
